author,comment,published_at
Rahul kakade15,"Thanks for sharing  dude ...
I was trying to do the same thing that you did but is show me the error :you currently have essential  access for v2 but for this end point  you will have apply for elevated access vai devloper portal  could you please  help",2022-11-03T06:07:16Z
Jashan Bansal,Great Video Darshil. Keep up the Good Work :),2022-11-03T04:37:12Z
Harika Kalugotla,"I came here seeing your LinkedIn post with comments,Being a fresher I was struggling for a project. This is Absolutely what I was looking for. Just Awsome. Thank you so much for your time and efforts.",2022-11-02T16:13:13Z
Dharmendra Gurjar,"i am facing one issue, when running ""airflow standlone"" command on ec2 , my airflow server is stuck on ""Triggerer""",2022-11-01T09:51:49Z
Simu,can i add this in my resume?,2022-10-24T08:41:42Z
Ogiss Gi,Thank you! thank you! thank you!,2022-10-19T16:31:08Z
Shobhik Paul,"Getting the following error while trying to run the ssh  example command on my terminal - Load key ""keyname.pem"": Operation not permitted
getting "" Permission denied (publickey)."" as well. I have changed the directory to the folder where my key is stored still no able to. I followed every step carefully. Anybody could help?",2022-10-19T15:40:29Z
Shobhik Paul,for EC2 we need to pay AWS ? becasue during registration they are asking me card details. Is it okay?,2022-10-18T08:25:13Z
Shobhik Paul,"for tweet in tweets:
text = tweet._json[""full_text""]

why this? what does the ""full_text"" signify?",2022-10-18T08:14:44Z
AmithSingh,"Hi Darshal, good stuff, you should make a video for dbt i'm trying forever to connect it to bigquery and learn how to use things.",2022-10-11T19:47:31Z
imran sadiq,Thank you so much for great content. i want to ask if i neend more columns from json data how can i know what are the keys and their associated values in json and under which key of json. How can i refine it. Thank you,2022-10-11T13:03:53Z
Praveen toppo,t2 micro instance (free tier) is not working most probably because it has only 1 cpu.,2022-10-10T17:21:26Z
Dare Sunday,Good job mate. I thoroughly enjoy the video. Thank you.,2022-10-06T20:48:57Z
Baruti Studio,Thanks for this content,2022-10-05T20:59:34Z
keyur solanki,is that the same way we can store the csv file to gcp cloud storage?,2022-10-05T17:26:29Z
Kandula Divya,This video is worth more than paid content on many websites.Thanks for such content.,2022-10-03T02:15:46Z
Jay Dudhatra,I dоwnloaded everything is okay,2022-10-02T07:38:26Z
Commenter Dek,You need to elevate your API Access from essential to elevated,2022-10-02T06:48:59Z
Shoaib Shaikh,"Please keep on bringing content like this it will be really helpful for freshers who want to understand, gain knowledge and shape their career in Data engineering🙏.",2022-09-30T19:18:43Z
Riz Basamalah,"thank you very much for this content sir, please help me

I have got ""ERROR - Triggerer's async thread was blocked for ... seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines."" while running airflow standalone",2022-09-30T09:52:58Z
Tassamu Akhsan Nugroho,"Thanks sir, I learn a lot following this project guide. I understand more about how to use tweepy, AWS services and airflow by following this tutorial. I hope you always have a nice day.",2022-09-29T07:47:43Z
Nazil Noorani,"great video however you say ""particular"" way too many times....kind of gets annoying",2022-09-29T00:14:41Z
Harshal Rana,This is really Amazing Darshil. I would also like to see Architecture level videos and how all tools all integrated into the cluster.,2022-09-28T14:02:18Z
aws cloud,I'm not getting output when executing the python script,2022-09-27T14:48:56Z
Pearl R.,Darshillllllll this is Gold. I literally love you rn 😭,2022-09-26T07:28:31Z
hrishi,Thanks for sharing this,2022-09-25T20:23:02Z
Ravi,"Here airflow is running on single instance, if load increase it may fail right !. And do we have any tool like Azure Adf?",2022-09-25T17:48:21Z
Lokeswar Naidu,Please do a complete project based on  streaming data and transform the data using spark and orchestrate it using airflow and then store it cloud or any database.,2022-09-25T16:31:27Z
farhan khan,BHAI ZRA HINDI ME VIDEO BANAYA KARO,2022-09-25T13:46:42Z
Chiheb Mhamdi,"Hi I've sent to u a message , plz read it !",2022-09-25T12:30:02Z
RISHAV SINGH,can't connect to airflow. After writing airflow standalone it doesn't show password,2022-09-25T11:27:30Z
Dharmendra Gurjar,"Hey Darshil, Brother i am an experienced professional working with ETL(so i have good understanding on SQL and RDBMS) since 8 years, I have learned myself python & Tableau and also i have done 5-6 projects on Data-Analysis but i am still not very sure if i should look to switch my career to Data-Analyst or to an Data Engineer. 
After watching your old videos now i feel that i can more relate with Data Engineer than a Data Analyst according to my skill-set.
Any suggestions Brother ?",2022-09-25T11:18:21Z
Rajesh Kumar,For more on Azure DevOps: https://www.youtube.com/channel/UCIHRqMTGXSdVw0CCYyFH1Hg,2022-09-25T10:58:43Z
Midhilesh Momidi,This is gold,2022-09-23T15:15:57Z
Mario Nagi,amazing as usual,2022-09-23T12:26:36Z
anwar zeb,Bang you earn my subscription with bell icon,2022-09-23T08:39:11Z
Gomes,Excellent job Darshil.,2022-09-23T04:14:04Z
manisha rai,"Hi Darshil, Thank you for this .It was a great learning experience and it was fun too !  😛.I am eagerly waiting for more such videos on airflow",2022-09-22T16:25:36Z
Siddhesh Kalgaonkar,"Instead of forcing the airflow webserver to stop, you can just try resetting DB in a different terminal and it will work too.",2022-09-22T14:11:24Z
