author,comment,published_at
Zoopdewhoop,"Pausing only works if you're addressing someone with the patience and interest to listen to you. Most people are half-assed listeners who switch off the second you introduce the slightest break to choose your words. Or worse, they think you're struggling mentally and try to finish your sentence for you. So it's not just what you say, it's also how invested your audience is in the conversation. Attention spans ain't what they used to be.",2023-08-14T02:42:11Z
Simon Linser,"I think sometimes people don't listen, they aren't interested or they don't care. So they miss the ways language is used. Obviously you have to listen to great speakers to become better. But if you read and listen and think instead of assuming you know what they said or meant or the nuances of when they say the same thing differently. Because learning is highly context dependent, we will also use cues to draw upon our vocabulary. So by being a good listener and thinking about what you hear or read, you'll be training your brain to automatically use context cues to select a pool of words related to that cue/ clue.",2023-08-14T02:30:49Z
Favour Alfred,U deserve my subscription 👍,2023-08-14T00:18:07Z
kkewsuk シ,"bruh I needed this video. Every time someone asks me how school was I say ""Yeah good"" 💀",2023-08-14T00:16:59Z
Dylan Tendai,This guy is good.,2023-08-14T00:05:23Z
Rumi,Amazing content,2023-08-13T23:20:51Z
DBZ Scrub,"Great video, super helpful for budding YouTubers :)",2023-08-13T21:49:17Z
Sreemukh Kovuri,"Wonderful video, thanks for sharing. I love your point around talking slow which makes a lot of sense. It allows one to really think through communication at a more intimate level to deliver effective messaging, rather than deploying superfluous vocabulary. Thanks again.",2023-08-13T21:12:04Z
Simi,I think the poem ‘Daffodils’ by William Wordsworth would be a great addition to your list :) thanks so much for this instructive video!,2023-08-13T20:37:10Z
ENVUS,You have poor choice of words in your examples,2023-08-13T20:30:04Z
Serdna X,Jayden smith watches this video every day,2023-08-13T19:53:36Z
FreekicksRI,"Great video. I would like to say that i think you’ve overcorrected with your enunciation of T’s. In my ( very subjective) opinion, it sounds unnatural/overdone and actually detracts from your image of credibility. Just a thought",2023-08-13T19:16:57Z
Akram Mohammad,"Appreciate this man!

Means a lot",2023-08-13T18:50:41Z
St James Jackson,This was a phenomena video! Where was that Steve Jobs clip from?,2023-08-13T17:43:53Z
Jeffrey Rodriguez,"Great video brother ! Just hearing you speak , was like listening to a melody .",2023-08-13T16:06:14Z
KopyErr*,"Thankyou!

this was a problem of mine that has been showing itself more frequently recently. theres some solid stuff in here",2023-08-13T15:52:57Z
VivaLaKen,"Dude, talk about the quality of your videos!",2023-08-13T14:15:47Z
Hafsa Riaz,4:25 i either do it after saying it or take more time than needed before saying it (both are useless),2023-08-13T14:10:35Z
