author,comment,published_at
Duck It :),"The funniest thing about this video is that, youtube is showing the ads of the same fakeass gurus that our boy was trying to keep us away from.",2023-03-28T16:28:27Z
Thomas Eriksson,"God video, thank you",2023-03-28T13:29:28Z
Dommi Davros,Great video! And very true!,2023-03-28T08:06:00Z
karan_editzz8,Love you brother you research alot that's hit me,2023-03-27T14:11:43Z
Valijon Eshniyazov,conment,2023-03-26T23:35:31Z
Susilo N Tri,Terima kasih,2023-03-23T22:34:08Z
Andres Ceballos,"I fell into the trap of trying many different ""programs"" but the worse was Domick Carney's AboveAve scam, paid them 4k for a completely useless ""course"" and sued them but was never able to serve the guy since these people protect themselves so well.",2023-03-23T19:54:17Z
M P,16:28 that's great 😁,2023-03-22T12:10:58Z
Elnur Nurpeis,"The scary thing is that 
the biggest scam in human history is Religion …",2023-03-21T22:56:37Z
AMS,"Get rich quick = get poor quick

Ying-Yang...

Some have stayed rich after getting rich quick, but it's tiny amount. There was a struggle to stay rich for them. Same struggle to get rich for others. It won't happen by accident.",2023-03-21T19:46:49Z
AK EE80,The irony is.. While watching your video.. Its full of get rich quick add.. Great  video.. As always.,2023-03-21T15:44:16Z
E.Vammeej,Too many scammers these days,2023-03-20T21:23:48Z
Ear Plug TV,"Really enjoy the way you approach your chosen topic. You express yourself in a sobering manner that replicates the internal dialogue of someone approaching a precarious decision. I run a small business started by my dad (Proud Nepo Baby) While life isn’t always sunshine and rainbows we are able to provide for ourselves and most importantly offer a wonderful product and service to our customers. Even though I may never make anywhere close to what these individuals make in a thousand lifetimes, there is a level of self respect in knowing I make my customers lives better with the product we sell. For anyone reading this seeking to strike it rich, I’d wager to try and find something you enjoy and build something around that. Even if it fails you’re going to enjoy the process and the people you meet. But on the other hand if it does reach a level where it can sustain yourself and the ones you love you can consider yourself extremely successful. I understand what I say is obvious and trodden, but so many things in life try to belittle the life that you have while dangling something better in front of you. However if you look around and see the beauty in your life and the blessings you have, life is pretty damn good for the short time we have to live it.",2023-03-17T02:47:17Z
M Mircea,"The moment I opened up this video, an ad pops up about a Free Amazon Selling Course😂",2023-03-16T22:57:28Z
Truth Seeker,"I fell for one tiny part once, wasted 67 dollars for absolutely nothing. I payed the 67 and then I had to pay 230 something so I’m assuming if I payed that, I’d pay another high value like 300 or 400. It was bullshit to began with I shouldn’t have even bothered, well I learned my lesson.",2023-03-15T23:15:41Z
Jonny Long,"If you wanna get rich quickly, write a bullshit book and become a guru",2023-03-10T20:11:32Z
